Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-08-14,119.8,120.25,121.9,119.1,120.6,120.9,120.89,5507364,6.658088414e+13,45479,2025867,0.3678
2014-08-18,120.9,120.5,123.9,118.25,123.1,123.3,121.89,5671328,6.9130226115e+13,47698,1498601,0.2642
2014-08-19,123.3,123.5,125.25,123.25,124.8,124.75,124.27,3383249,4.2042715705e+13,25429,1098116,0.3246
2014-08-20,124.75,124.35,126.6,123.35,123.9,123.95,124.89,4495541,5.614669102e+13,28885,1820683,0.405
2014-08-21,123.95,123.35,125.4,121.4,123.15,122.9,123.35,3593418,4.432507312e+13,27332,1009935,0.2811
2014-08-22,122.9,123.9,124.0,121.25,122.65,122.55,122.6,2482906,3.0440876045e+13,13422,478383,0.1927
2014-08-25,122.55,122.6,123.4,119.3,119.5,119.9,121.25,2908749,3.5269579825e+13,19145,864153,0.2971
2014-08-26,119.9,118.8,120.6,115.15,117.9,118.1,118.06,5946214,7.02010016e+13,31479,1810614,0.3045
2014-08-27,118.1,118.0,119.0,115.75,116.3,116.15,116.97,5109508,5.976633108e+13,35665,1756432,0.3438
2014-08-28,116.15,116.25,117.35,114.3,116.2,116.0,115.82,7443129,8.6207157545e+13,32010,3514886,0.4722
2014-09-01,116.0,116.15,118.45,115.1,117.9,118.05,116.92,5711853,6.6780190545e+13,34613,2273743,0.3981
2014-09-02,118.05,117.25,121.55,117.25,119.55,119.45,120.29,6447058,7.755337919e+13,38713,1871274,0.2903
2014-09-03,119.45,119.5,121.3,118.0,118.65,118.65,119.96,4788436,5.7440193685e+13,33209,1704414,0.3559
2014-09-04,118.65,117.5,117.95,110.45,112.5,112.05,112.69,7928511,8.93464074e+13,50423,2295264,0.2895
2014-09-05,112.05,111.5,112.95,107.35,110.95,111.35,109.73,7502303,8.232095865e+13,45806,1361290,0.1814
2014-09-08,111.35,112.0,113.6,111.25,111.5,111.8,112.36,3692638,4.14887682e+13,20432,1201509,0.3254
2014-09-09,111.8,110.75,114.5,110.05,114.0,113.85,112.9,4532110,5.116551292e+13,24893,1174777,0.2592
2014-09-10,113.85,113.4,115.0,110.8,111.25,111.3,112.4,5571515,6.2623352285e+13,26495,2305473,0.4138
2014-09-11,111.3,111.2,113.0,110.85,111.75,111.95,112.0,3860201,4.323515135e+13,21909,1277636,0.331
2014-09-12,111.95,111.0,112.35,108.9,109.3,109.45,109.92,4510577,4.957984959e+13,24707,1306506,0.2897
2014-09-15,109.45,108.4,111.4,107.9,110.45,110.55,110.36,3015641,3.3281513025e+13,19417,666617,0.2211
2014-09-16,110.55,110.1,111.6,106.5,107.1,106.8,108.3,5410582,5.859509208e+13,28578,2508923,0.4637
2014-09-17,106.8,107.7,108.4,99.35,103.3,102.5,102.61,18488731,1.89710081505e+14,107871,4903575,0.2652
2014-09-18,102.5,102.7,105.85,102.55,105.2,105.2,104.63,5946117,6.2212235295e+13,36757,1347671,0.2266
2014-09-19,105.2,104.1,106.6,102.1,104.55,104.5,104.62,7567231,7.9170339995e+13,44854,3160948,0.4177
2014-09-22,104.5,103.5,105.15,103.05,104.35,104.4,104.19,2851907,2.971477501e+13,22432,572544,0.2008
2014-09-23,104.4,103.7,105.5,100.8,100.9,101.6,103.18,7002596,7.2255585335e+13,37377,2246804,0.3209
