Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-08-14,2368.95,2381.0,2383.5,2350.1,2360.35,2362.5,2363.35,1580026,3.73415175175e+14,81621,665851,0.4214
2014-08-18,2362.5,2355.0,2429.25,2354.0,2422.1,2421.2,2398.08,1655621,3.97031092385e+14,118894,608136,0.3673
2014-08-19,2421.2,2434.2,2462.0,2429.35,2434.1,2442.25,2444.67,1594806,3.89878018e+14,64598,590618,0.3703
2014-08-20,2442.25,2445.0,2448.3,2408.5,2410.0,2414.75,2418.41,1606595,3.88540258715e+14,87763,739156,0.4601
2014-08-21,2414.75,2414.0,2476.9,2410.1,2471.0,2467.55,2454.92,2796397,6.8649438258e+14,113815,1224738,0.438
2014-08-22,2467.55,2479.75,2549.0,2479.75,2526.1,2524.7,2524.62,2647496,6.68392567595e+14,127077,997677,0.3768
2014-08-25,2524.7,2530.0,2577.4,2491.7,2508.0,2506.15,2552.13,2678413,6.8356606685e+14,86936,1221792,0.4562
2014-08-26,2506.15,2499.85,2509.0,2465.25,2509.0,2496.0,2483.79,1431218,3.5548494979e+14,99888,418473,0.2924
2014-08-27,2496.0,2510.05,2535.25,2474.0,2502.1,2505.0,2511.43,1420013,3.56626324855e+14,64928,423076,0.2979
2014-08-28,2505.0,2512.0,2523.75,2453.0,2461.5,2460.7,2478.56,1470048,3.6435995653e+14,58587,586326,0.3988
2014-09-01,2460.7,2477.0,2516.95,2472.9,2515.0,2504.35,2495.71,1519355,3.79187169155e+14,52080,711823,0.4685
2014-09-02,2504.35,2517.15,2534.0,2504.0,2518.9,2522.0,2521.8,1650808,4.16301518315e+14,64744,734724,0.4451
2014-09-03,2522.0,2522.85,2529.3,2493.4,2506.25,2505.0,2509.19,1571584,3.94340406065e+14,66684,614390,0.3909
2014-09-04,2505.0,2506.0,2509.0,2476.0,2488.0,2486.15,2487.17,1242886,3.09126944815e+14,52632,416634,0.3352
2014-09-05,2486.15,2491.0,2530.0,2486.1,2516.0,2515.75,2511.01,1691355,4.24700098825e+14,68304,688922,0.4073
2014-09-08,2515.75,2537.2,2572.0,2527.9,2568.0,2565.9,2547.81,1787508,4.5542278316e+14,59560,914171,0.5114
2014-09-09,2565.9,2567.0,2589.9,2552.0,2566.1,2567.35,2567.88,1297520,3.3318780494e+14,65159,445300,0.3432
2014-09-10,2567.35,2549.0,2562.9,2525.6,2558.0,2549.95,2540.22,1628977,4.137962693e+14,84738,930669,0.5713
2014-09-11,2549.95,2563.25,2608.9,2563.25,2606.1,2603.1,2588.44,1598132,4.13667167455e+14,77909,482830,0.3021
2014-09-12,2603.1,2605.0,2641.0,2587.5,2637.15,2630.4,2609.11,1637441,4.27225851725e+14,63528,563548,0.3442
2014-09-15,2630.4,2613.8,2643.9,2594.5,2620.5,2623.25,2622.16,1743754,4.57240031625e+14,71773,673971,0.3865
2014-09-16,2623.25,2629.0,2644.0,2550.0,2551.35,2563.1,2596.94,1568736,4.0739161588e+14,67441,456782,0.2912
2014-09-17,2563.1,2583.4,2588.05,2536.95,2562.1,2562.35,2562.37,1304495,3.34259577e+14,66100,516606,0.396
2014-09-18,2562.35,2554.0,2628.0,2544.0,2614.35,2620.4,2608.38,2012120,5.2483818755e+14,77782,902173,0.4484
2014-09-19,2620.4,2626.0,2631.9,2555.0,2564.0,2568.0,2594.7,1555851,4.036961623e+14,62521,575317,0.3698
2014-09-22,2568.0,2551.0,2625.0,2542.3,2594.0,2601.55,2584.64,1434698,3.7081768868e+14,62409,463645,0.3232
2014-09-23,2601.55,2609.9,2624.7,2549.15,2566.0,2556.2,2591.54,1937915,5.02218291105e+14,104272,867526,0.4477
2014-09-24,2556.2,2550.35,2573.2,2455.7,2476.0,2486.35,2526.22,2310629,5.8371628488e+14,102743,866426,0.375
2014-09-25,2486.35,2495.0,2499.9,2362.3,2388.05,2377.7,2416.14,2836908,6.85436950505e+14,104331,1163698,0.4102
2014-09-26,2377.7,2359.9,2460.1,2350.05,2457.4,2445.25,2398.65,2811845,6.7446194848e+14,108855,647154,0.2302
2014-09-29,2445.25,2451.0,2478.0,2426.0,2455.2,2449.7,2453.13,1384556,3.39650133035e+14,61351,370051,0.2673
2014-09-30,2449.7,2436.05,2476.0,2420.3,2444.0,2445.7,2451.75,1863218,4.56814390685e+14,72854,513277,0.2755
2014-10-01,2445.7,2445.0,2454.0,2412.2,2416.95,2423.35,2430.26,1054475,2.56264437245e+14,44571,210628,0.1997
2014-10-07,2423.35,2404.65,2423.45,2359.35,2367.6,2366.4,2390.32,1300244,3.10799766525e+14,65537,384134,0.2954
2014-10-08,2366.4,2346.05,2419.8,2346.05,2415.5,2411.25,2398.16,1358931,3.258932478e+14,62494,368412,0.2711
2014-10-09,2411.25,2426.0,2498.5,2426.0,2477.0,2479.55,2471.82,1727923,4.2711069957e+14,73566,534191,0.3092
2014-10-10,2479.55,2454.8,2493.2,2433.15,2454.4,2451.2,2458.68,1252522,3.0795508556e+14,59432,275898,0.2203
2014-10-13,2451.2,2437.0,2494.4,2431.2,2483.0,2485.45,2467.81,1392664,3.43683521045e+14,51867,291861,0.2096
2014-10-14,2485.45,2504.55,2544.0,2492.35,2535.6,2523.55,2523.82,1731597,4.37024721935e+14,84137,402907,0.2327
2014-10-16,2523.55,2500.25,2554.8,2452.4,2475.0,2466.4,2510.04,1907395,4.7876310344e+14,77887,630413,0.3305
2014-10-17,2466.4,2488.0,2534.95,2475.1,2526.25,2521.9,2509.89,1463300,3.6727158287e+14,62513,432088,0.2953
2014-10-20,2521.9,2577.0,2593.75,2552.75,2568.0,2569.45,2573.68,1882423,4.844749727e+14,76781,888115,0.4718
2014-10-21,2569.45,2580.0,2607.0,2569.6,2585.55,2584.15,2587.66,1502231,3.88725685175e+14,59119,528524,0.3518
2014-10-22,2584.15,2609.0,2613.6,2565.1,2576.8,2575.25,2583.45,1451117,3.7488823198e+14,68522,739714,0.5098
2014-10-23,2575.25,2591.4,2593.7,2574.0,2579.65,2578.55,2581.09,237621,6.1332138255e+13,16153,114056,0.48
2014-10-27,2578.55,2592.0,2619.9,2581.0,2597.8,2597.8,2602.69,1342958,3.4952986335e+14,82609,535910,0.3991
2014-10-28,2597.8,2608.0,2664.3,2606.0,2661.0,2656.75,2640.81,2296348,6.06422297825e+14,92792,1104794,0.4811
2014-10-29,2656.75,2677.0,2679.0,2631.0,2645.0,2643.75,2652.14,1737297,4.60756118745e+14,70730,771241,0.4439
2014-10-30,2643.75,2649.9,2653.05,2622.0,2643.9,2638.0,2637.36,1554427,4.09957913795e+14,63861,680099,0.4375
2014-10-31,2638.0,2652.0,2709.8,2646.0,2699.8,2702.8,2692.05,2077024,5.5914443137e+14,67435,864403,0.4162
2014-11-03,2702.8,2706.0,2743.5,2694.25,2722.0,2723.45,2725.33,1778064,4.84581628515e+14,53392,825586,0.4643
2014-11-05,2723.45,2733.0,2799.8,2724.05,2780.0,2781.9,2775.48,2660510,7.3841978403e+14,94619,1189500,0.4471
2014-11-07,2781.9,2775.0,2781.0,2730.0,2740.0,2742.5,2749.11,1816303,4.9932207982e+14,109428,852230,0.4692
2014-11-10,2742.5,2759.0,2769.0,2733.0,2739.2,2739.5,2746.86,1206889,3.31516007685e+14,47274,493872,0.4092
2014-11-11,2739.5,2747.9,2762.5,2705.0,2745.2,2740.35,2732.24,1740595,4.75573107205e+14,65532,613130,0.3523
2014-11-12,2740.35,2753.0,2771.5,2735.55,2742.6,2746.05,2756.66,1623323,4.47494565335e+14,58102,678366,0.4179
2014-11-13,2746.05,2756.1,2762.25,2695.0,2721.1,2719.3,2721.2,1685902,4.58768091145e+14,83481,612133,0.3631
2014-11-14,2719.3,2730.0,2806.9,2720.0,2784.8,2787.85,2772.05,5084669,1.40949545632e+15,218796,1261817,0.2482
2014-11-17,2787.85,2794.0,2951.3,2792.2,2942.0,2940.6,2892.18,4916412,1.42191367247e+15,184395,1824277,0.3711
2014-11-18,2940.6,2956.95,2979.0,2924.1,2940.7,2945.75,2956.04,3289839,9.72490314245e+14,117782,1201496,0.3652
2014-11-19,2945.75,2949.0,2968.0,2903.55,2913.2,2910.5,2934.84,2073593,6.0856565634e+14,103370,750213,0.3618
2014-11-20,2910.5,294.75,298.75,291.25,297.1,297.1,296.36,18099509,5.36391972945e+14,183671,6978221,0.3855
2014-11-21,297.1,299.9,307.0,297.25,305.5,305.5,303.92,21009207,6.385177996e+14,191411,8101321,0.3856
2014-11-24,305.5,307.8,309.85,306.05,308.0,308.85,308.18,18631463,5.7418986689e+14,183826,9473849,0.5085
2014-11-25,308.85,309.9,309.95,301.0,305.3,304.45,305.26,26776620,8.17395607255e+14,224296,14662454,0.5476
2014-11-26,304.45,304.9,308.75,303.6,306.7,306.25,306.38,11131807,3.41054851955e+14,94644,4816682,0.4327
2014-11-27,306.25,307.0,308.5,303.85,306.4,305.85,305.84,15378080,4.7031681454e+14,93793,8313485,0.5406
2014-11-28,305.85,308.4,322.5,308.0,322.3,321.4,318.6,27760604,8.84465073385e+14,199440,12629642,0.4549
2014-12-01,321.4,322.8,326.95,317.6,319.5,319.6,321.54,18449916,5.93233360535e+14,167654,8067261,0.4373
2014-12-02,319.6,318.9,322.8,311.55,318.45,318.7,318.05,23776383,7.56213321905e+14,193394,6450002,0.2713
2014-12-03,318.7,319.65,322.9,316.35,318.05,317.95,319.79,13699078,4.38086571585e+14,134276,5745538,0.4194
2014-12-04,317.95,319.85,321.0,314.05,319.9,320.3,318.15,13809486,4.39344717595e+14,112216,4361498,0.3158
2014-12-05,320.3,320.0,321.3,316.0,316.5,317.55,318.83,11391988,3.63207875715e+14,91179,4165504,0.3657
2014-12-08,317.55,318.6,318.6,312.3,313.0,312.9,314.52,9814223,3.08678832335e+14,115724,4283175,0.4364
2014-12-09,312.9,312.7,314.4,305.5,306.4,306.55,308.97,14926558,4.61185907705e+14,126498,6996985,0.4688
2014-12-10,306.55,303.5,317.2,303.3,316.8,315.95,311.73,15381613,4.79492822145e+14,152998,6486886,0.4217
2014-12-11,315.95,313.6,318.55,310.45,313.8,314.05,314.33,13151866,4.13398689805e+14,118987,3786526,0.2879
2014-12-12,314.05,313.65,316.9,309.0,312.05,311.35,312.84,11727933,3.66901098955e+14,108669,4396033,0.3748
2014-12-15,311.35,308.3,316.0,307.55,309.6,310.55,312.25,15117938,4.72055850835e+14,150237,7079490,0.4683
2014-12-16,310.55,308.1,311.0,293.0,294.9,295.6,301.1,20951938,6.30869201375e+14,211851,8079122,0.3856
2014-12-17,295.6,294.4,306.4,287.0,302.85,301.75,297.83,28290440,8.4258054523e+14,273555,9555900,0.3378
2014-12-18,301.75,310.8,312.6,304.5,307.0,307.1,308.43,18921827,5.8360476243e+14,175235,8562602,0.4525
2014-12-19,307.1,311.55,312.0,303.5,304.15,304.15,307.23,14130478,4.341351271e+14,128865,4695679,0.3323
2014-12-22,304.15,306.3,308.65,303.35,308.4,307.7,306.16,11565161,3.54083992105e+14,106653,5209008,0.4504
2014-12-23,307.7,307.6,312.5,306.25,306.5,307.2,309.38,12836868,3.9714154686e+14,119061,4147321,0.3231
2014-12-24,307.2,306.0,309.95,305.0,306.05,305.75,306.69,14866629,4.5594400567e+14,98442,5692054,0.3829
2014-12-26,305.75,306.85,309.8,306.05,307.95,307.65,307.84,7373519,2.26988165835e+14,67785,2305137,0.3126
2014-12-29,307.65,309.5,310.2,307.0,307.1,307.55,308.17,7699059,2.3726141511e+14,78041,3281505,0.4262
2014-12-30,307.55,308.2,310.75,306.0,310.65,309.75,308.42,8113742,2.5024263478e+14,69322,2459991,0.3032
2014-12-31,309.75,310.05,312.95,310.0,312.75,311.85,311.43,6305857,1.9638502358e+14,55077,2487025,0.3944
2015-01-01,311.85,312.45,315.0,310.7,314.0,314.0,313.67,6138488,1.9254888637e+14,58688,1877677,0.3059
