Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-08-14,473.5,474.35,485.85,473.65,484.85,484.6,481.36,6349274,3.0563068016e+14,82901,3193892,0.503
2014-08-18,484.6,489.05,505.65,488.9,505.05,503.8,499.04,8564539,4.27408776255e+14,108555,4309605,0.5032
2014-08-19,503.8,507.5,520.7,505.55,520.6,518.85,513.22,9859931,5.0603000862e+14,131331,4979420,0.505
2014-08-20,518.85,519.0,522.0,510.9,511.05,512.25,515.78,5409421,2.79008450175e+14,95723,2647462,0.4894
2014-08-21,512.25,516.0,518.15,506.15,511.65,512.75,512.62,5405948,2.77122407225e+14,70205,2978409,0.551
2014-08-22,512.75,515.25,520.65,510.6,512.3,511.55,514.79,4357503,2.24319236065e+14,63873,2272775,0.5216
2014-08-25,511.55,517.0,518.0,505.35,507.45,508.4,512.93,3963009,2.0327290579e+14,70287,2348421,0.5926
2014-08-26,508.4,498.5,515.2,496.35,514.15,512.65,507.71,4674270,2.3731897794e+14,76268,1692400,0.3621
2014-08-27,512.65,518.9,524.0,516.2,524.0,521.7,520.46,3863988,2.01103826055e+14,82828,1354711,0.3506
2014-08-28,521.7,523.7,531.65,522.65,524.2,525.05,527.05,5538124,2.9188649318e+14,77525,2905954,0.5247
2014-09-01,525.05,526.0,529.5,516.75,520.7,520.0,520.67,6254629,3.25658120365e+14,74771,4167274,0.6663
2014-09-02,520.0,520.0,520.75,512.05,516.9,516.25,515.85,4650966,2.39918329295e+14,58994,2604668,0.56
2014-09-03,516.25,526.1,530.5,521.3,523.45,522.6,524.47,7316875,3.8374576087e+14,77198,4572260,0.6249
2014-09-04,522.6,522.7,522.7,509.25,513.05,513.0,513.41,7803460,4.0063356495e+14,110104,5643109,0.7232
2014-09-05,513.0,513.0,516.6,503.15,505.7,506.0,509.73,9954962,5.07433550225e+14,93030,6572377,0.6602
2014-09-08,506.0,508.0,512.0,502.9,510.2,510.1,506.83,9167389,4.64628376485e+14,73963,7132831,0.7781
2014-09-09,510.1,511.1,518.4,507.6,517.3,517.15,514.26,9037982,4.6478700808e+14,98072,6123800,0.6776
2014-09-10,517.15,513.8,520.95,512.4,515.5,516.55,517.67,7237841,3.74682522185e+14,68063,5047584,0.6974
2014-09-11,516.55,518.0,518.3,511.0,513.0,514.35,514.56,3952038,2.03355510615e+14,71684,2077377,0.5256
2014-09-12,514.35,515.0,519.35,513.4,517.15,517.2,516.68,4596246,2.37479944015e+14,52038,3070494,0.668
2014-09-15,517.2,512.0,515.4,510.15,512.65,512.4,512.61,2970679,1.5228011554e+14,57889,1841642,0.6199
2014-09-16,512.4,510.0,510.75,494.65,500.0,499.75,503.34,5734024,2.88617496825e+14,70246,3519479,0.6138
2014-09-17,499.75,502.0,509.5,491.4,506.85,506.95,500.41,4947732,2.47589652185e+14,74888,2739269,0.5536
2014-09-18,506.95,505.7,526.8,500.7,524.35,525.4,517.05,7051279,3.6458442554e+14,114517,4055275,0.5751
2014-09-19,525.4,525.2,529.0,516.55,519.75,518.9,523.4,5132096,2.68611478645e+14,74583,3043696,0.5931
2014-09-22,518.9,515.0,542.5,514.0,539.35,540.05,533.76,7888770,4.21070451885e+14,117475,3499972,0.4437
2014-09-23,540.05,541.7,542.6,516.1,518.75,517.8,528.91,7448994,3.93985935025e+14,88464,4076620,0.5473
2014-09-24,517.8,516.0,517.75,506.55,512.95,513.4,513.01,3846158,1.97310735325e+14,45019,1471267,0.3825
2014-09-25,513.4,512.7,514.75,500.0,505.0,504.35,506.83,6322423,3.2043648466e+14,65782,4001452,0.6329
2014-09-26,504.35,502.1,513.05,492.35,510.15,511.1,503.89,7175476,3.61566761435e+14,92507,3930894,0.5478
2014-09-29,511.1,510.1,515.6,507.65,510.25,510.75,511.24,5106197,2.61050200995e+14,63329,3224723,0.6315
